TÍTULO AUTOR GÉNERO AÑO
Asalto al paraíso Aguinis, M. Thriller 2002
Mariona Rebull Agustí, I. Narrativa 2001
La Regenta Alas Clarín, L. Novela realista 1994
Mujercitas Alcott, Louise M. Juvenil 2004
La destrucción o el amor Aleixandre, V. Clásico 1984
El reino del dragón de oro Allende, I. Fantástico 2016
Cuentos de Eva Luna Allende, I. Realismo mágico 2002
La casa de los espíritus Allende, I. Realismo mágico 1982
Largo pétalo de mar Allende, I. Histórica 2019
Violeta Allende, I. Narrativa 2022
Bajarse al moro Alonso de Santos, J.L. Teatro 2009
Las mil y una noches Anónimo Cuentos 2003
Patria Aramburu, F. Narrativa 2016
La última caravana Argemí, R. Novela fantástica 2008
Mercedes Pinto Armas, M. Biografía 2010
El último catón Asensi, M. Histórica 2013
Iacobus Asensi, M. Misterio 2000
El origen perdido Asensi, M. Aventuras 2003
El clan del oso cavernario Auel, J. M. Histórica 2005
El valle de los caballos Auel, J. M. Histórica 2005
Los cazadores de mamuts Auel, J. M. Histórica 2005
Las llanuras del tránsito Auel, J. M. Histórica 2005
Los refugios de piedra Auel, J. M. Histórica 2005
Sentido y sensibilidad Austen, J. Romántico 1997
Historia de un idiota Azúa de, F. Autobiografía 1986
La elegancia del erizo Barbery, M. Narrativa 2008
La única historia Barnes, J. Narrativa 2019
Las inquietudes de Shanti Andía Baroja, P. Narrativa 2001
El azul del infierno Barral, C. Narrativa 2009
La mujer de mi hermano Bayly, J. Narrativa 2002
Ella que todo lo tuvo Becerra, A. Ficción 2009
Leyendas y narraciones Bécquer, G. A. Poesía 1983
El país bajo mi piel Belli, G. Autobiografía 2002
Carpe Diem Bellow, S. Clásico 1984
La tregua Benedetti, M. Narrativa 2001
El niño de arena Ben Jell, N. T. Realismo mágico 1987
La rebelión de Lucifer Benítez, J.J. Fantástico 2005
Ordinem Bernal, P. Ficción 2021
Pigmalión Bernard Shaw, G. Clásico 1984
Las aventuras de los detectives del faro Bliesener, K. Juvenil 2003
Sonnica la cortesana Blasco Ibañez, V. Histórica 1976
Los cinco tras el pasadizo secreto Blyton, G. Juvenil 1986
Sombra Bordons, P. Juvenil 2001
El Aleph Borges, J.L. Clásico 1984
El código Da Vinci Brown, D. Misterio 2003
Los negocos del señor Julio César Brecht, B. Clásico 1984
Si no hubiera privilegios… Bribián, N. Crítica social 2019
El huerto de mi amada Bryce Echenique, A. Comedia 2002
Cartas para Claudia Bucay, J. Autoayuda 2005
Tres tristes tigres Cabrera Infante, G. Clásico 1984
Médico de cuerpos y almas Caldwell, T. Aventuras 1958
El barón rampante Calvino, I. Clásico 1984
La peste Camus, A. Clásico 1984
El extranjero Camus, A. Novela filosófica 1998
Tenía que sobrevivir Canessa, R. Autobiografía 2017
Lluvia de caramelos Carretero, V. Histórica 2019
El reino de éste mundo Carpentier, A. Clásico 1984
El siglo de las luces Carpentier, A. Histórica 2001
El espía que surgió del frío Carré le, J. Clásico 1984
Historia de una flor Casanova, C. Narrativa 2019
La chica de nieve Castillo, J. Suspense 2020
El juego del alma Castillo, J. Suspense 2021
Rosalía de Castro para niños y jóvenes Castro de, R. Poesía 2008
La familia de Pascual Duarte Cela, C. J. Narrativa 2001
La colmena Cela, C. J. Narrativa 1976
Gabriel Celaya para niños Celaya, G. Poesía 2009
El monarca de las sombras Cercas, J. Narrativa 2017
Crisis emocionales Conangla, M. Autoayuda 2007
Don Quijote Cervantes de, M. Aventuras 1994
Barrio de Maravillas Chacel, R. Narrativa 2001
El hombre que fue Jueves Chesterton, G.K. Clásico 1984
El asesinato de Pitágoras Chicot, M. Histórica 2013
Asesinato en el Orient Express Christie, A. Misterio 1987
Maldad bajo el sol Christie, A. Misterio 1983
Cocina monacal Clarisas, Hnas. Gastronomía 1996
Se armó la de San Quintín Concostrina, N. Humorística 2012
El Zahir Coelho, P. Novela Psicológica 2005
Yo, Vivaldi Coffrant, Ch Biografía 1992
Alba, reina de las avispas Cohen, E. Cuento 1998
Cuaderno de viaje Compás, S. Ficción 2002
Lord Jim Conrad, J. Juvenil 1984
Intención criminal Cook, R. Suspense 1990
Casa tomada y otros cuentos Cortázar, J. Realismo mágico 2007
Reunión y otros relatos Cortázar, J. Clásico 1984
Punto crítico Crichton, M. Suspense 1998
Oro azul Cussler, C. Aventuras 2002
Matilda Dahl, R. Juvenil 2006
El valle del destino Davenport, M. Ficción 1973
A lo lejos Díaz, H. Aventuras 2020
Robinson Crusoe Defoe, D. Aventuras 2003
El camino Delibes, M. Narrativa 1985
El príncipe destronado Delibes, M. Narrativa 1980
Los santos inocentes Delibes, M. Narrativa 1993
La sombra del ciprés es alargada Delibes, M. Narrativa 2001
La desaparición de Stephanie Mailer Dicker, J. Misterio 2018
Gerardo Diego para niños Diego, G. Poesía 2005
El obsceno pájaro de la noche Donoso, J. Novela 2001
Años inolvidables Dos Passos Clásico 1984
El tiempo entre costuras Dueñas, M. Narrativa 2009
Sira Dueñas, M. Ficción 2021
Hiroshima mon amour Duras, M. Clásico 1984
Historias policíacas divertidas Ecke, W. Juvenil 1984
El nombre de la rosa Eco, U. Misterio 1980
Como agua para chocolate Esquivel, L. Narrativa 2001
Beatriz y los cuerpos celestes Etxebarria, L. Narrativa 2001
Amor, curiosidad, prozac y dudas Etxebarria, L. Narrativa 2001
Los herederos de la tierra Falcones, I. Histórica 2016
Carta a un niño que nunca nació Fallaci, O. Narrativa 1981
Luz de Agosto Faulkner, W. Clásico 1984
Mientras agonizo Faulkner, W. Clásico 1984
León Felipe para niños Felipe, L. Poesía 2004
Quantic love y la puerta de los 3 cerrojos Fernández-Vidal, S. Ficción 2012
Bélver Yin Ferrero, J. Narrativa 2001
Ojos saltones Fine, A. Juvenil 1998
Madame Bovary Flaubert, G. Narrativa 2001
Tomates verdes fritos Flaff, F. Narrativa 2001
Cobra Forsyth, F. Suspense 2010
Tiempo de memoria Fonseca, C. Histórica 2009
El amante Albanés Fortes, S. Narrativa 2003
La muerte de Artemio Cruz Fuentes, C. Histórica 1987
Cambio de piel Fuentes, C. Clásico 1984
Las manos del pianista Fuentes, E. Misterio 2003
El mundo de Sofía Gaarder, J. Ensayo 1991
El zafarrancho aquel de vía Merulana Gadda, C.E. Clásico 1984
La pasión turca Gala, A. Narrativa 1993
Las afueras de Dios Gala, A. Narrativa 1999
El dueño de la herida Gala, A. Ficción 2003
El pedestal de las estatuas Gala, A. Narrativa 2007
El manuscrito carmesí Gala, A. Narrativa 2010
Dos velas para el diablo Gallego, L. Fantástico 2008
La última cripta Gamboa, F. Narrativa 2010
El ejército negro García-Clairac, S. Fantástico 2006
En tierra de lobos García Jambrina, L. Policíaca 2013
La mala hora García Márquez, G. Narrativa 2009
La hojarasca García Márquez, G. Realismo mágico 1986
Todos los cuentos García Márquez, G. Realismo mágico 2002
Cronica de una muerte anunciada García Márquez, G. Narrativa 2001
El coronel no tiene quien le escriba García Márquez, G. Narrativa 2001
El silencio de la ciudad blanca García Sáenz de Urturi, E. Thriller 2015
Los ritos del agua García Sáenz de Urturi, E. Thriller 2016
Los señores del tiempo García Sáenz de Urturi, E. Thriller 2018
El libro de las hojas negras García Sáenz de Urturi, E. Thriller 2022
Deseo rebelde Garwood, J. Romántico 2006
Siempre Alice Génova, L. Narrativa 2009
Los monederos falsos Gide, A. Clásico 1984
